Id,Name,Address,City,State,Division,Major Group,Industry Group,SIC,Description
1177,"Santiago, Holmes and Sullivan",2093 Kerri Valley,Rickymouth,Vermont,D,30.0,308.0,3086.0,Plastics Foam Products
1178,,172 Christine Ranch Apt. 042,New Laura,Kentucky,G,52.0,525.0,5251.0,Hardware Stores
1179,Moore-Buck,42391 John Mountain,Jameston,Oregon,C,16.0,161.0,1611.0,"Highway and Street Construction, Except Elevated Highways"
1180,,66967 David Viaduct Apt. 315,Lake Joseph,North Carolina,I,80.0,804.0,8043.0,Offices and Clinics of Podiatrists
1181,"Lawrence, Holland and Jackson",879 Debra Hill Apt. 580,Floresville,Arkansas,D,35.0,355.0,,"Special Industry Machinery, Not Elsewhere Classified"
1182,Dawson Ltd,7555 Burns Causeway Apt. 875,Bradyhaven,Alabama,F,51.0,,5142.0,Packaged Frozen Foods
1183,Jacobs Group,066 Linda Centers Suite 504,New Barbaraborough,North Carolina,H,65.0,654.0,6541.0,Title Abstract Offices
1184,Shah Group,18206 Karen Plaza Apt. 603,East Gregtown,North Carolina,D,28.0,283.0,2835.0,In Vitro and In Vivo Diagnostic Substances
1185,Mcbride-Gross,137 Kristen Expressway Apt. 619,Lake Wendy,Illinois,I,79.0,799.0,7999.0,"Amusement and Recreation Services, Not Elsewhere Classified"
1186,Smith-Quinn,510 Smith Courts,Blakeview,New Hampshire,,20.0,204.0,2048.0,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats"
1187,Garrison-Morton,934 Brown Vista,Port Ashleyhaven,Kentucky,D,35.0,353.0,,Elevators and Moving Stairways
1188,"Williams, Hancock and Valencia",08875 Steven Common Suite 135,South Melanie,California,E,49.0,493.0,4931.0,Electric and Other Services Combined
1189,Hunt-Thompson,006 Jacob Crest Apt. 048,Glennland,Illinois,D,35.0,357.0,3575.0,Computer Terminals
1190,Kelley-Valencia,2018 Wilson Mission Apt. 737,West Kyle,Texas,I,80.0,807.0,8071.0,Medical Laboratories
1191,Orozco-Mercado,8312 Kennedy Summit Apt. 145,Amandamouth,New Mexico,D,,243.0,2431.0,Millwork
1192,"Lamb, Boyer and Nelson",36317 Gardner Plains Apt. 859,Rochaport,Michigan,I,78.0,783.0,7833.0,Drive-In Motion Picture Theaters
1193,Arnold-Schultz,7051 Simpson Camp Apt. 235,East Levi,Delaware,E,44.0,,4482.0,Ferries
1194,"Knight, Taylor and Conway",1453 Johnson Ways,Dianeton,Wisconsin,D,25.0,251.0,2514.0,Metal Household Furniture
1195,Phillips-Sanchez,44457 Hernandez Ramp Suite 932,South Hollyfort,West Virginia,D,37.0,371.0,3715.0,Truck Trailers
1196,Barrett PLC,66061 Callahan Point,East Micheleborough,Minnesota,E,44.0,444.0,4449.0,"Water Transportation of Freight, Not Elsewhere Classified"
1197,Robinson-Bailey,556 Mark Port Apt. 837,Johnsonville,Kentucky,D,37.0,371.0,3711.0,Motor Vehicles and Passenger Car Bodies
1198,"Spence, Moran and Martinez",3459 Kathy Creek,,West Virginia,I,81.0,811.0,8111.0,Legal Services
1199,Adams LLC,80594 Jessica Inlet Suite 699,East Johnfurt,Nebraska,I,80.0,802.0,8021.0,Offices and Clinics of Dentists
1200,Reynolds-Miller,734 Farley Parkways,,Idaho,F,50.0,501.0,5015.0,"Motor Vehicle Parts, Used"
1201,"Carlson, Taylor and Franco",,West Jennifer,Texas,F,50.0,502.0,,Furniture
1202,Chavez Inc,2467 Timothy Burgs,East Jared,Wisconsin,D,35.0,357.0,3577.0,"Computer Peripheral Equipment, Not Elsewhere Classified"
1203,Griffin-Kidd,43898 Brittany Brook,South Melissa,Washington,D,32.0,321.0,3211.0,Flat Glass
1204,Taylor-White,822 Joseph Road,Moralesfort,California,D,26.0,262.0,2621.0,Paper Mills
1205,Scott Ltd,3435 Beasley Mountains,Kevinfurt,New York,E,49.0,,4931.0,Electric and Other Services Combined
1206,Hernandez-Paul,796 Weaver Shore Suite 226,North Joseph,Tennessee,H,60.0,606.0,6061.0,"Credit Unions, Federally Chartered"
1207,Rodriguez Inc,31024 Mary Throughway,Barbaraburgh,,D,22.0,226.0,2269.0,"Finishers of Textiles, Not elsewhere Classified"
1208,"Clark, Jones and Mendoza",4743 Marshall Turnpike,New Christineburgh,Kansas,D,31.0,314.0,3144.0,"Women's Footwear, Except Athletic"
1209,David-Hutchinson,707 Thompson Well,Lake Mark,Tennessee,C,17.0,176.0,1761.0,"Roofing, Siding, and Sheet Metal Work"
1210,Young-Wood,481 Prince Cove Apt. 797,Lake Mariahaven,Arkansas,E,49.0,496.0,4961.0,Steam and Air-Conditioning Supply
1211,Miller Inc,80783 Graham Forest,Abigailmouth,Nebraska,D,26.0,265.0,2656.0,"Sanitary Food Containers, Except Folding"
1212,Trujillo LLC,96494 Kidd Camp Apt. 762,Brittanymouth,Virginia,A,7.0,78.0,782.0,Lawn and Garden Services
1213,"Cruz, Ray and Arias",999 Wilson Turnpike Apt. 415,,Connecticut,D,22.0,228.0,2284.0,Thread Mills
1214,Cain Group,924 Robert Spurs,Georgeport,Alaska,D,23.0,238.0,2384.0,Robes and Dressing Gowns
1215,"Flynn, Cameron and Parker",63831 Steven Brook,Destinyport,Arkansas,E,47.0,474.0,4741.0,Rental of Railroad Cars
1216,Thomas PLC,74359 Natalie Hollow,Port Brett,Illinois,I,73.0,731.0,7319.0,"Advertising, Not Elsewhere Classified"
1217,Johnson-Cooper,913 Wright Neck Suite 410,South Eric,Tennessee,F,51.0,514.0,5141.0,"Groceries, General Line"
1218,Robinson-Johnson,2516 Rogers Bypass,East Sharon,Montana,,80.0,806.0,8062.0,General Medical and Surgical Hospitals
1219,"Williams, Nelson and Sawyer",6305 Charles Way,East Michaelland,Ohio,I,73.0,737.0,7377.0,Computer Rental and Leasing
1220,Gonzalez-Tran,5437 Nicholas Vista Suite 690,North Jamesburgh,Montana,I,87.0,873.0,8733.0,Noncommercial Research Organizations
1221,Snow LLC,268 Tracey Mission,Reevesview,Oklahoma,D,20.0,203.0,2032.0,Canned Specialties
1222,Brewer-Davis,062 Young Drives Apt. 977,West Johnside,Florida,E,45.0,451.0,4513.0,Air Courier Services
1223,"Owens, Wood and Villa",9725 Trevino Crescent Suite 712,West Diana,Kansas,I,72.0,721.0,7218.0,Industrial Launderers
1224,Stephens-Watson,156 Angela Divide Apt. 491,Toddburgh,Wyoming,H,62.0,622.0,6221.0,Commodity Contracts Brokers and Dealers
1225,Carey LLC,8122 Mendez Circle,Stanleymouth,Nevada,G,55.0,552.0,5521.0,Motor Vehicle Dealers (Used Only)
1226,Adams LLC,422 Gibson Mills,New Christopherburgh,Indiana,D,33.0,331.0,3317.0,Steel Pipe and Tubes
1227,Caldwell PLC,7855 Johnson Highway,Kramermouth,South Carolina,D,34.0,344.0,3442.0,"Metal Doors, Sash, Frames, Molding, and Trim Manufacturing"
1228,Wilson-Wall,413 Brandon Mission Apt. 189,Lisafort,Wyoming,D,36.0,367.0,3679.0,"Electronic Components, Not Elsewhere Classified"
1229,Liu-Mathis,4794 Annette Islands,Roberttown,Florida,I,73.0,734.0,7349.0,"Building Cleaning and Maintenance Services, Not Elsewhere"
1230,Edwards-Robbins,87646 Jordan Roads,East Laura,Texas,F,50.0,503.0,5039.0,"Construction Materials, Not Elsewhere Classified"
1231,Leach Inc,332 Collins Ports,,Pennsylvania,F,51.0,514.0,5145.0,Confectionery
1232,Clark-Gonzalez,494 Johnson Mountains Suite 339,Mitchellhaven,Oklahoma,D,36.0,367.0,3671.0,Electron Tubes
1233,"Brown, Wilson and Perkins",761 Jessica Inlet,Port Patricia,Hawaii,E,42.0,421.0,4212.0,Local Trucking Without Storage
1234,Gross Group,485 Bowers Trail Suite 341,West Sophia,South Carolina,H,60.0,609.0,6099.0,"Functions Related to Depository Banking, Not Elsewhere Classified"
1235,Gates LLC,01625 Cunningham Pine,Joelberg,Wisconsin,H,62.0,621.0,6211.0,"Security Brokers, Dealers, and Flotation Companies"
1236,Gomez-Bell,6797 Holmes Ville Suite 587,Lake Kimberly,North Carolina,I,87.0,871.0,8711.0,Engineering Services
1237,,5041 Cassandra Corners Apt. 932,Greggside,South Dakota,D,36.0,362.0,3625.0,Relays and Industrial Controls
1238,"Luna, Mckenzie and Collins",28274 Hardy Estates Apt. 721,Vargasberg,Oregon,D,23.0,234.0,2342.0,"Brassieres, Girdles, and Allied Garments"
1239,"Alexander, Pham and Davis",636 Amy Unions,Port Matthew,Oregon,I,72.0,724.0,7241.0,Barber Shops
1240,Thomas-Summers,45313 Daniel Rapid Suite 993,,West Virginia,D,34.0,348.0,3483.0,"Ammunition, Except for Small Arms"
1241,Fowler LLC,751 Norman Isle,North Katherine,Oklahoma,D,28.0,283.0,2833.0,Medicinal Chemicals and Botanical Products
1242,White LLC,941 Megan Mill,North Annettemouth,North Carolina,I,87.0,871.0,8712.0,Architectural Services
1243,"Vega, Graham and Garrett",786 Winters Trail,South Marcus,Pennsylvania,D,37.0,371.0,3711.0,Motor Vehicles and Passenger Car Bodies
1244,Lopez LLC,689 Robert Lights,New Maria,Alabama,D,24.0,249.0,2491.0,
1245,Perez PLC,64017 Kendra Mount Apt. 266,Port Elizabethville,Illinois,A,2.0,25.0,254.0,Poultry Hatcheries
1246,Walker-Wood,3353 Haynes Locks,Emilyshire,Virginia,F,51.0,515.0,5154.0,Livestock
1247,Smith Group,61556 Crystal Divide Suite 953,Kathrynport,Arizona,I,87.0,871.0,8712.0,Architectural Services
1248,"Taylor, Roy and Phillips",,Fordtown,Louisiana,D,32.0,329.0,3292.0,Asbestos Products
1249,"Blake, Dunn and Mills",21230 Mann Locks,West Susan,New York,A,1.0,17.0,172.0,Grapes
1250,"Hall, Chapman and Short",7591 Shepherd Trafficway Suite 918,Taraborough,Rhode Island,D,34.0,349.0,3495.0,Wire Springs
1251,,47904 Cameron Roads,East Yolanda,Missouri,D,28.0,286.0,2869.0,"Industrial Organic Chemicals, Not Elsewhere Classified"
1252,Morris and Sons,6596 Silva Mountain,Port Robert,Iowa,F,51.0,514.0,5149.0,"Groceries and Related Products, Not Elsewhere Classified"
1253,Jensen-Lowe,382 Michael Isle,Wesleyfort,North Dakota,F,51.0,514.0,5141.0,"Groceries, General Line"
1254,Thompson-Tran,23503 Frederick Park,Lozanobury,North Dakota,D,23.0,237.0,2371.0,Fur Goods
1255,"Roberts, Brooks and Alvarado",9109 Cooper Bridge,North Michael,Maryland,A,1.0,11.0,112.0,Rice
1256,Mcfarland Group,1667 Paul Shores Suite 099,Sheaport,South Carolina,D,32.0,323.0,3231.0,"Glass Products, Made of Purchased Glass"
1257,Hill-Ruiz,0807 Morgan Shoal,Brewerfort,Oregon,H,65.0,651.0,6517.0,Lessors of Railroad Property
1258,Riddle LLC,141 Mayo Ferry,Gonzalesfort,Kentucky,A,7.0,72.0,724.0,Cotton Ginning
1259,Lewis-Hines,7135 Douglas Centers Suite 418,Sabrinaview,Iowa,F,50.0,508.0,5083.0,Farm and Garden Machinery and Equipment
1260,"Patel, Moreno and Young",497 Hayes Freeway Apt. 447,East Rogerstad,Iowa,D,30.0,305.0,3053.0,"Gaskets, Packing, and Sealing Devices"
1261,"Dickerson, Armstrong and Byrd",35915 Natasha Way Apt. 299,Johnville,,D,39.0,391.0,3914.0,"Silverware, Plated Ware, and Stainless Steel Ware"
1262,Marshall LLC,5953 Samantha Freeway,Robertfort,Maryland,D,34.0,344.0,3446.0,Architectural and Ornamental Metal Work
1263,White Group,8281 Fisher Knoll,Karenfurt,New Hampshire,I,76.0,769.0,7694.0,Armature Rewinding Shops
1264,Williams Group,062 David Summit Suite 749,Joshuaport,South Dakota,I,86.0,866.0,8661.0,Religious Organizations
1265,"Hickman, White and Hardy",9080 Angela Run,West Christy,Hawaii,D,20.0,205.0,2053.0,"Frozen Bakery Products, Except Bread"
1266,Jackson-Sanders,7848 Brown Stream Suite 999,Deanburgh,Georgia,B,12.0,122.0,1222.0,Bituminous Coal Underground Mining
1267,"Benton, Cochran and Anderson",16176 Ryan Drives,Raybury,Illinois,I,75.0,753.0,7532.0,"Top, Body, and Upholstery Repair Shops and Paint Shops"
1268,"Jones, Kramer and Jackson",3799 Michael Place,West Joshua,Rhode Island,I,79.0,792.0,7929.0,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups"
1269,Murray and Sons,29363 Miles Brooks Suite 902,Colemanport,Iowa,D,25.0,251.0,2517.0,"Wood Television, Radio, Phonograph, and Sewing Machine Cabinets"
1270,Austin-Kelly,715 Becker Square,Rogersview,Texas,D,26.0,267.0,2672.0,
1271,"Padilla, Jones and Golden",06324 Jose Square,Ronaldmouth,Nevada,B,12.0,122.0,1222.0,Bituminous Coal Underground Mining
1272,"Payne, Maddox and Walsh",8010 Webb Tunnel,Dawnmouth,Alabama,D,20.0,202.0,2022.0,"Natural, Processed, and Imitation Cheese"
1273,Jenkins-Rich,38014 Lara Prairie Apt. 967,Port David,New York,D,34.0,344.0,3444.0,Sheet Metal Work
1274,Gardner-Harris,064 Pace Rapids,Williemouth,New Mexico,D,28.0,289.0,2892.0,Explosives
1275,Reilly-Edwards,6313 Shane Village Apt. 203,Port Shaunmouth,Kansas,,28.0,284.0,2841.0,"Soap and Other Detergents, Except Specialty Cleaners"
1276,Woods PLC,3100 Howard Meadow Suite 804,Millerport,Michigan,I,76.0,769.0,7692.0,Welding Repair
1277,Lin LLC,02512 Hill Street,Kyleton,Washington,D,33.0,333.0,3334.0,Primary Production of Aluminum
1278,Medina Group,815 Drake Port Apt. 289,Youngfort,Missouri,J,91.0,913.0,9131.0,Executive and Legislative Offices Combined
1279,"Hall, Guerrero and Gordon",352 Steven Corner,East Trevor,Kansas,B,13.0,138.0,1381.0,Drilling Oil and Gas Wells
1280,Davis Inc,421 Holmes Greens Apt. 978,Katiemouth,Georgia,I,82.0,822.0,8222.0,Junior Colleges and Technical Institutes
1281,Martin Group,6979 Michele Freeway,East Jenniferville,West Virginia,G,57.0,572.0,,Household Appliance Stores
1282,"Alexander, Smith and Lawson",62413 Jocelyn Lock,South Nathan,Indiana,I,87.0,874.0,8744.0,Facilities Support Management Services
1283,"Hall, Jackson and Garner",5954 Larry Spur Suite 976,Whitestad,Louisiana,D,35.0,356.0,3567.0,Industrial Process Furnaces and Ovens
1284,Mccann-Henson,728 Tracie Lake,Kennethstad,Vermont,D,32.0,329.0,3297.0,Nonclay Refractories
1285,Williams-Henderson,100 Kevin Squares,West Rebecca,New Jersey,J,97.0,971.0,9711.0,National Security
1286,Ray Inc,084 Gray Pike Suite 960,Williamsstad,Delaware,F,50.0,506.0,5065.0,"Electronic Parts and Equipment, Not Elsewhere Classified"
1287,Johnson Inc,5842 Kenneth Views Apt. 508,North Jason,Indiana,F,51.0,515.0,5153.0,Grain and Field Beans
1288,Flores PLC,07685 George Turnpike Suite 366,Lake Michael,Wisconsin,I,87.0,874.0,8744.0,Facilities Support Management Services
1289,Chan PLC,7563 Cynthia Cove,Port Christina,California,I,87.0,874.0,8742.0,Management Consulting Services
1290,"Brown, Smith and Woods",9975 Miller Plains,Lake Annette,Oregon,F,50.0,508.0,5082.0,Construction and Mining (Except Petroleum) Machinery and Equipment
1291,George Ltd,2503 Amy Rapid Apt. 461,Port Noahshire,Illinois,D,28.0,284.0,2843.0,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants"
1292,Knight-Davidson,44225 Thomas Road,Wendyshire,Oregon,D,20.0,204.0,2045.0,Prepared Flour Mixes and Doughs
1293,"Garcia, Gonzales and Dominguez",2167 Charles Springs Suite 173,New Shaneberg,Maryland,D,31.0,314.0,3143.0,"Men's Footwear, Except Athletic"
1294,Collins Ltd,19521 Victor Village,Vazquezview,Maine,D,34.0,346.0,3463.0,Nonferrous Forgings
1295,"White, Chambers and Gill",9087 Murray Curve,South Francesborough,Maine,D,35.0,358.0,3581.0,Automatic Vending Machines
1296,Jordan-Watson,713 Amanda Harbor,Thomasmouth,South Dakota,D,37.0,371.0,3715.0,Truck Trailers
1297,Williams LLC,82541 Rivera Point,,Nevada,D,34.0,342.0,3423.0,"Hand and Edge Tools, Except Machine Tools and Handsaws"
1298,"Bennett, Conway and Morton",88073 Jacob Ways Apt. 425,Bowenland,Minnesota,D,37.0,379.0,3799.0,"Transportation Equipment, Not Elsewhere Classified"
1299,Mayer Group,6138 Clay Mill,East Andrea,Rhode Island,H,67.0,679.0,6799.0,"Investors, Not Elsewhere Classified"
1300,Perez-Wolfe,2178 Dixon Roads Apt. 995,Nicoleside,New Mexico,I,73.0,731.0,7311.0,Advertising Agencies
1301,Lyons-Johnson,510 Laura Cape Suite 897,Lake Johnbury,Connecticut,I,80.0,804.0,8049.0,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified"
1302,Martin-Fowler,9200 Monique Lakes Suite 977,Mitchellfurt,Pennsylvania,E,49.0,,4925.0,"Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or"
1303,Johnson Group,97000 Marcia Fort Suite 399,West Isaiah,Connecticut,F,50.0,503.0,5033.0,"Roofing, Siding, and Insulation Materials"
1304,"Stevenson, Chandler and Ramirez",1937 Hampton Ranch,Lake Eric,Texas,I,89.0,899.0,8999.0,"Services, Not Elsewhere Classified"
1305,Crosby-Bowen,82098 Cox Throughway,Stoutberg,Indiana,D,32.0,327.0,3275.0,Gypsum Products
1306,Schroeder-Flores,3945 Brian Junction Suite 451,Janetview,New Mexico,D,22.0,225.0,2258.0,Lace and Warp Knit Fabric Mills
1307,Baird PLC,0215 Jeremy Shores Apt. 583,Port Joseph,Georgia,I,80.0,806.0,8062.0,General Medical and Surgical Hospitals
1308,"Howard, Green and Cruz",77022 April Crest,Thompsonborough,Virginia,D,32.0,325.0,3251.0,Brick and Structural Clay Tile
1309,Strickland PLC,32376 Franco Cliffs Suite 224,New Randy,Wisconsin,I,79.0,794.0,7948.0,"Racing, Including Track Operation"
1310,"Peters, Jimenez and Taylor",188 Joe Junctions Apt. 333,South Erikmouth,Wyoming,D,26.0,267.0,2674.0,Uncoated Paper and Multiwall Bags
1311,Estes-Avila,5368 Harris Well,Carterberg,Massachusetts,D,37.0,379.0,3792.0,Travel Trailers and Campers
1312,Rodriguez Group,7215 Katherine Points Apt. 364,Port Joshua,Arkansas,A,1.0,17.0,171.0,Berry Crops
1313,"Schroeder, Tran and Hickman",4186 Christopher Lakes,East Tina,Mississippi,A,7.0,78.0,783.0,Ornamental Shrub and Tree Services
1314,"Castillo, Robbins and Richardson",33060 Deborah Street Suite 495,South Davidborough,Georgia,G,54.0,545.0,5451.0,Dairy Products Stores
1315,Walton-Marks,8337 Brandon Roads Apt. 836,South Brandon,Michigan,,51.0,517.0,5171.0,Petroleum Bulk stations and Terminals
1316,"Giles, Baker and Anderson",9542 Monica Cliffs Suite 422,West Bobbyborough,Arizona,I,86.0,866.0,8661.0,Religious Organizations
1317,"Smith, Turner and Lane",43258 Vazquez Drives,Ramirezberg,New Jersey,H,60.0,608.0,6081.0,Branches and Agencies of Foreign Banks
1318,"Lambert, Burton and Sims",9578 Gina Cliffs,Port Rachelborough,New Jersey,D,20.0,207.0,2075.0,Soybean Oil Mills
1319,Stanley-Johnson,43341 Jason Green Apt. 402,Gallegoshaven,Utah,D,35.0,354.0,3545.0,"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices"
1320,Knight Ltd,8796 Lewis Gateway,Port John,Oklahoma,E,49.0,497.0,4971.0,Irrigation Systems
1321,Weber Group,56746 Griffin Way Suite 232,Simmonsstad,Montana,F,50.0,507.0,5078.0,Refrigeration Equipment and Supplies
1322,"Guzman, Smith and Logan",2781 Tonya Prairie Suite 780,New Carrieside,Washington,D,33.0,335.0,3354.0,Aluminum Extruded Products
1323,Lane-Neal,078 Thomas Point Suite 348,Adamsshire,New Jersey,I,75.0,753.0,7537.0,Automotive Transmission Repair Shops
1324,May PLC,7866 Nelson Burg,Alvarezburgh,Nevada,D,33.0,335.0,3353.0,"Aluminum Sheet, Plate, and Foil"
1325,Williams Group,3613 Joyce Crescent,Debramouth,Indiana,I,72.0,725.0,7251.0,Shoe Repair Shops and Shoeshine Parlors
1326,"Hughes, Tate and Williams",53586 Perez Path Suite 836,,Oregon,I,73.0,737.0,7371.0,Computer Programming Services
1327,Garza PLC,7112 Le Field Suite 466,Princemouth,Alabama,I,,839.0,8399.0,"Social Services, Not Elsewhere Classified"
1328,Cummings and Sons,09958 Walker Shores Suite 502,Danielport,North Dakota,D,33.0,336.0,3363.0,Aluminum Die-Castings
1329,"Wright, Wood and Knox",2493 Erica Cliffs Apt. 768,Kimberlyville,,A,7.0,,762.0,Farm Management Services
1330,Matthews and Sons,89836 Kathleen Drive Suite 481,Olsonmouth,Arkansas,I,79.0,791.0,7911.0,"Dance Studios, Schools, and Halls"
1331,Taylor LLC,576 Jason Ports,Lake Todd,Oregon,I,89.0,899.0,8999.0,"Services, Not Elsewhere Classified"
1332,Sandoval-Randolph,64772 Juan Plains Apt. 654,East Eric,Wisconsin,E,49.0,495.0,4952.0,Sewerage Systems
1333,Gould Ltd,550 David Overpass,Port Robin,Arkansas,C,17.0,176.0,1761.0,"Roofing, Siding, and Sheet Metal Work"
1334,Alexander-Smith,0105 Cantu Common,Adamschester,Texas,D,36.0,369.0,3691.0,Storage Batteries
1335,Lopez PLC,0306 Ryan Circles,Frederickhaven,Texas,A,1.0,13.0,134.0,Irish Potatoes
1336,Torres-Martinez,485 Jeffrey Common,Williamsview,Connecticut,A,9.0,91.0,913.0,Shellfish
1337,"Parker, Howell and Sanders",57477 Lewis Grove,West Mitchell,Nevada,D,23.0,233.0,2339.0,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified"
1338,Smith-Smith,2159 Williams Crossing Suite 729,Gregoryfurt,Alabama,D,38.0,382.0,3829.0,"Measuring and Controlling Devices, Not Elsewhere Classified"
1339,"Jackson, Krueger and Knight",287 Mckee Springs Suite 209,Rodriguezshire,Rhode Island,D,22.0,226.0,2262.0,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk
1340,"Wyatt, Horton and Frazier",927 Garcia Bridge,Lake Charles,Alaska,F,50.0,503.0,5033.0,"Roofing, Siding, and Insulation Materials"
1341,Bradford Group,053 Castillo Groves,Hinesland,Wyoming,G,54.0,542.0,5421.0,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners"
1342,Lopez-Brown,206 Mitchell Club,Shirleyview,Michigan,D,34.0,342.0,3425.0,Saw Blades and Handsaws
1343,"Taylor, Doyle and Ford",53539 Allen Key Apt. 923,Sherryberg,Nebraska,E,49.0,492.0,4923.0,Natural Gas Transmission and Distribution
1344,Zimmerman-Flores,,North Donna,Rhode Island,E,49.0,492.0,4922.0,Natural Gas Transmission
1345,Brown-Rodriguez,29463 Bryant Station Suite 002,West Briannaside,Oklahoma,D,28.0,287.0,2873.0,Nitrogenous Fertilizers
1346,Woods PLC,106 Wood Route Apt. 968,West Daisy,Missouri,D,29.0,299.0,2992.0,Lubricating Oils and Greases
1347,"Howard, Martinez and Stevens",876 Gary Union Apt. 423,Yangburgh,Oklahoma,H,67.0,673.0,6733.0,"Trusts, Except Educational, Religious, and Charitable"
1348,Turner-Thompson,97287 Andrade Manors,Russellside,Virginia,I,80.0,807.0,8071.0,Medical Laboratories
1349,Wagner-Williams,72955 Bean Tunnel Apt. 027,Hickmanburgh,Maryland,G,56.0,566.0,5661.0,Shoe Stores
1350,"Harris, Vaughn and Bailey",58345 Valerie Crossroad,Natalietown,Louisiana,D,27.0,276.0,2761.0,Manifold Business Forms
1351,"Campos, Perry and Raymond",1885 Cantu Place,Patrickside,Alaska,D,20.0,201.0,2015.0,Poultry Slaughtering and Processing
1352,Davis Group,360 Edwards Turnpike,Lisabury,Michigan,D,37.0,376.0,3761.0,Guided Missiles and Space Vehicles
1353,"Gillespie, Mayer and Brown",44619 Stein Greens,Lake Nicholasfurt,Illinois,E,42.0,422.0,4225.0,General Warehousing and Storage
1354,Smith-Blackburn,0557 Lori Manors,Lindseybury,Colorado,I,70.0,704.0,7041.0,"Organization Hotels and Lodging Houses, on Membership Basis"
1355,Duncan-Rodriguez,13720 Tiffany Walks Apt. 183,Villarrealhaven,Indiana,D,28.0,287.0,2879.0,"Pesticides and Agricultural Chemicals, Not Elsewhere Classified"
1356,Smith Group,545 Khan Mall Apt. 439,Marshview,New York,J,91.0,919.0,9199.0,"General Government, Not Elsewhere Classified"
1357,Tate-Bailey,28470 Andrew Light,Markland,Oklahoma,A,2.0,25.0,252.0,Chicken Eggs
1358,"Davis, English and Sullivan",91085 Brandy Court,Andrewchester,Kansas,H,61.0,614.0,6141.0,Personal Credit Institutions
1359,Davis-King,15458 Townsend Viaduct,Melvinmouth,Montana,D,26.0,265.0,2655.0,"Fiber Cans, Tubes, Drums, and Similar Products"
1360,"Lowery, Wilson and Chang",68756 Dawn Cliff Suite 276,Gonzaleston,Arizona,C,17.0,174.0,1743.0,"Terrazzo, Tile, Marble, and Mosaic Work"
1361,Bates Group,48541 Greg Mountains,Port Mark,Minnesota,J,96.0,966.0,9661.0,Space and Research and Technology
1362,Daugherty Ltd,616 John Curve,Forbesland,Colorado,D,35.0,354.0,3549.0,
1363,"Johnson, Gutierrez and Short",9530 Martinez Street Apt. 444,North Brandon,Wisconsin,D,32.0,329.0,3297.0,Nonclay Refractories
1364,Martinez-Camacho,71035 Allen Ways Apt. 983,,North Carolina,H,60.0,602.0,6029.0,"Commercial Banks, Not Elsewhere Classified"
1365,"Macias, Jones and Kelly",26171 Katherine Canyon Apt. 501,Holderton,Utah,D,32.0,325.0,3251.0,Brick and Structural Clay Tile
1366,Hughes-May,216 Scott Keys,Jonathanmouth,Rhode Island,D,24.0,243.0,2439.0,"Structural Wood Members, Not Elsewhere Classified"
1367,Davis-Alvarez,3811 Bobby Forge Suite 620,Jacksonport,New Mexico,D,28.0,289.0,2891.0,
1368,Jacobson and Sons,7174 Brandon Field,Richardland,Kansas,G,52.0,523.0,5231.0,"Paint, Glass, and Wallpaper Stores"
1369,Davidson PLC,472 Erika Center,Port Michaelport,Rhode Island,A,1.0,17.0,171.0,Berry Crops
1370,Alvarado-Hall,1955 Johnson Pass,New Jeffery,,F,50.0,502.0,5021.0,Furniture
1371,Hanson-Dalton,243 Jason Rapid Suite 788,West Jason,Ohio,I,78.0,784.0,7841.0,Video Tape Rental
1372,Hampton and Sons,2426 Hannah Centers Apt. 428,Darlenefort,Kansas,J,92.0,,9229.0,"Public Order and Safety, Not Elsewhere Classified"
1373,Berger and Sons,332 Jessica Viaduct Apt. 821,Hillbury,Tennessee,D,38.0,382.0,3829.0,"Measuring and Controlling Devices, Not Elsewhere Classified"
1374,"Williamson, Wilson and Wilkins",79237 Jones Mountain Apt. 196,Amandaside,,A,1.0,18.0,182.0,Food Crops Grown Under Cover
1375,"Fowler, Thompson and Davila",073 Webb Courts,Benjaminhaven,Washington,,32.0,324.0,3241.0,"Cement, Hydraulic"
1376,Roberts Inc,45323 Smith Isle Apt. 466,Lake Erikashire,Nevada,D,37.0,375.0,3751.0,"Motorcycles, Bicycles, and Parts"
1377,Lowe-Buchanan,84887 Brian Centers Apt. 537,Paulfort,Illinois,D,30.0,308.0,3087.0,Custom Compounding of Purchased Plastics Resins
1378,"Bennett, Hamilton and Osborn",1147 Kathleen Bridge,Michelleland,Wisconsin,I,79.0,799.0,7993.0,Coin-Operated Amusement Devices
1379,Jones PLC,137 Dixon Village,North Kerryburgh,Tennessee,H,61.0,611.0,6111.0,Federal and Federally-Sponsored Credit Agencies
1380,Krueger-Roth,408 Monica Lane Apt. 791,Hayeshaven,Ohio,I,72.0,729.0,7291.0,Tax Return Preparation Services
1381,"Gutierrez, Summers and Carr",,Pughfurt,Texas,A,1.0,17.0,172.0,Grapes
